"carrier","carrier_name","year","total_delay","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","carrier_nameshort","total_delay_rel","carrier_delay_rel","weather_delay_rel","nas_delay_rel","security_delay_rel","late_aircraft_delay_rel"
"DL","Delta Air Lines Inc.",2009,4408308,1190233,154579,1786806,1310,1275380,"Delta",10.6880004422312,10.8156581161849,9.78727822883182,15.2799484444572,2.80766428050924,7.53733578010019
"DL","Delta Air Lines Inc.",2010,8195204,2910046,380885,2317622,3371,2583280,"Delta",18.6668191256447,21.6459257098282,21.9806569526304,22.2112287352456,5.24359133897461,14.1727420065319
"DL","Delta Air Lines Inc.",2011,6379583,2188241,300469,1827410,2316,2061147,"Delta",14.1311403264338,15.8790518144318,17.083624012331,17.334346157998,3.55318267593317,10.8488512775414
"DL","Delta Air Lines Inc.",2012,5136802,1965386,178807,1361153,2025,1629431,"Delta",10.3841507614441,12.2664212782421,10.3427372590621,12.4896245000353,2.99591667652977,7.85247289396626
"DL","Delta Air Lines Inc.",2013,6634527,2691572,333994,1749949,7816,1851196,"Delta",11.4255045154712,15.4680987545741,16.3305000547619,12.5701940090002,9.05614905105091,7.52091841207848
"DL","Delta Air Lines Inc.",2014,6965629,2694134,498602,1833423,3556,1935914,"Delta",11.0010251587388,13.7718070881509,20.2591914640315,12.7218930805399,6.10618861185521,7.21698524336822
"DL","Delta Air Lines Inc.",2015,7229891,2707569,602901,1779383,3910,2136128,"Delta",12.9074022747185,14.6227839148399,23.0240023585338,14.5567602497334,5.83904544300584,9.45686033076398
"EV","Atlantic Southeast Airlines",2007,5651350,2832238,760224,1123851,4990,930047,"Express",9.27864596309902,16.208370393321,24.2604730483334,7.1292664230215,4.0892589344981,3.80954358772139
"EV","Atlantic Southeast Airlines",2008,4038897,1688969,565274,1127930,3559,653165,"Express",7.56910985297974,11.8224811720557,23.4269390278927,7.38645453653048,4.94305555555556,3.06376753933214
"EV","Atlantic Southeast Airlines",2009,4639544,1129897,195657,1349463,1574,1962953,"Express",11.2486351506635,10.2673843344143,12.388160723116,11.5399909490468,3.37348364696301,11.6008059414096
